State_Code,Tweets_Cnt,Tweets_Cnt_Trump,Tweets_Cnt_Biden,Likes,Retweets,Participation rate,Avg of Follower per tweet user,Turnout rates,Blue_Votes_Percent,Blue_Votes,Red_Votes_Percent,Red_Votes,Winner,State_Name,State_Code2,Population
AK,740,311,429,426.2,112.4,10.12093145,3096.216216,68.4,42.8,"153,778",52.8,"189,951",R,Alaska,AK,731158
AL,1738,860,878,1839.8,432.2,3.480623513,6955.165791,63.1,36.6,"849,624",62,"1,441,170",R,Alabama,AL,4921532
AR,1205,687,518,591.2,166.8,3.570342007,4821.268022,55.9,34.8,"423,932",62.4,"760,647",R,Arkansas,AR,3030522
AZ,6250,2922,3328,2682,572.2,8.236989215,2947.507443,65.5,49.4,"1,672,143",49.1,"1,661,686",B,Arizona,AZ,7421401
CA,56972,31156,25816,2028,409,14.46959133,7780.859332,67.4,63.5,"11,110,250",34.3,"6,006,429",B,California,CA,39368078
CO,6305,3618,2687,1124.2,296.6,10.8562415,3827.468834,75.5,55.4,"1,804,352",41.9,"1,364,607",B,Colorado,CO,5807719
CT,3819,2207,1612,2840.8,1418.6,5.676121997,4954.868252,70.1,59.2,"1,080,680",39.2,"715,291",B,Connecticut,CT,3557006
DC,16739,9684,7055,22297.4,5398.6,234.8291845,35432.85937,63.7,92.1,"317,323",5.4,"18,586",B,District of Columbia,DC,712816
DE,590,252,338,503.2,130.8,5.836995812,1697.678819,70,58.7,"296,268",39.8,"200,603",B,Delaware,DE,986809
FL,29929,16625,13304,1575,547.6,13.72823433,27596.31626,71.3,47.9,"5,297,045",51.2,"5,668,731",R,Florida,FL,21733312
GA,6201,2945,3256,2417.4,658.8,5.660121735,12483.69911,67.7,49.5,"2,473,633",49.2,"2,461,854",B,Georgia,GA,10710017
HI,1341,706,635,882.2,198,9.530876201,8408.877703,57,63.7,"366,130",34.3,"196,864",B,Hawaii,HI,1407006
IA,1452,880,572,1372,423.8,4.589764509,5498.750689,72.8,44.9,"759,061",53.1,"897,672",R,Iowa,IA,3163561
ID,1012,608,404,580.2,131.8,5.539398975,2564.495059,67.2,33.1,"287,021",63.8,"554,119",R,Idaho,ID,1826913
IL,12277,6777,5500,1300.4,330.2,9.753303468,6288.951372,66.9,57.5,"3,471,915",40.6,"2,446,891",B,Illinois,IL,12587530
IN,3108,1556,1552,809.6,161.6,4.601068283,1394.351351,60.7,41,"1,242,498",57,"1,729,857",R,Indiana,IN,6754953
KS,1788,900,888,1294,477.6,6.136306307,4048.605705,65.7,41.5,"570,323",56.1,"771,406",R,Kansas,KS,2913805
KY,2680,1484,1196,1814.2,829.6,5.98581585,5087.470149,64.5,36.2,"772,474",62.1,"1,326,646",R,Kentucky,KY,4477251
LA,3998,2162,1836,2037.4,343.6,4.621857965,5325.668374,63.7,39.9,"856,034",58.5,"1,255,776",R,Louisiana,LA,4645318
MA,8757,4865,3892,1217.6,256.6,12.26794693,8223.981672,71.6,65.6,"2,382,202",32.1,"1,167,202",B,Massachusetts,MA,6893574
MD,7207,3925,3282,1575.4,521.2,7.03127348,2075.890324,70.4,65.4,"1,985,023",32.2,"976,414",B,Maryland,MD,6055802
ME,715,398,317,908.4,155,5.295743185,2780.755245,75.5,53.1,"435,072",44,"360,737",B,Maine,ME,1350141
MI,6145,3065,3080,901.2,238.4,6.147560516,2608.653501,73.5,50.6,"2,804,040",47.8,"2,649,852",B,Michigan,MI,9966555
MN,3443,1821,1622,745.4,162.6,6.085896875,2197.652338,79.6,52.4,"1,717,077",45.3,"1,484,065",B,Minnesota,MN,5657342
MO,4317,2440,1877,721.8,205,6.62597447,2456.345191,65.7,41.4,"1,253,014",56.8,"1,718,736",R,Missouri,MO,6151548
MS,507,241,266,935.4,287,1.705549372,1111.816206,59.7,41,"539,398",57.5,"756,764",R,Mississippi,MS,2966786
MT,499,188,311,2167.4,789.6,4.256984926,2490.226087,72.1,40.5,"244,786",56.9,"343,602",R,Montana,MT,1080577
NC,6469,3415,3054,1088.2,318.8,6.102356393,2432.483846,71.2,48.6,"2,684,292",49.9,"2,758,773",R,North Carolina,NC,10600823
ND,772,483,289,587.2,108.6,10.08742874,1135.585492,64,31.8,"114,902",65.1,"235,595",R,North Dakota,ND,765309
NE,768,394,374,992.4,141.8,3.963764585,3341.854167,69.1,39.2,"374,583",58.2,"556,846",R,Nebraska,NE,1937552
NH,3889,2295,1594,1142.8,242.6,4.779418492,3285.23124,74.7,52.7,"424,921",45.4,"365,654",B,New Hampshire,NH,1366275
NJ,9006,5045,3961,3331.2,1288.2,10.13918468,8390.193093,74.1,57.1,"2,608,335",41.3,"1,883,274",B,New Jersey,NJ,8882371
NM,948,502,446,860,146.8,4.500742765,2280.089662,61,54.3,"501,614",43.5,"401,894",B,New Mexico,NM,2106319
NV,4621,2388,2233,5891.2,992,14.72472476,13663.16079,65.2,50.1,"703,486",47.7,"669,890",B,Nevada,NV,3138259
NY,43886,22881,21005,20062.2,2680.2,22.69561379,14260.81714,63.1,60.9,"5,244,006",37.7,"3,250,230",B,New York,NY,19336776
OH,8284,3871,4413,841.6,248.8,7.084449044,3098.075326,67,45.2,"2,679,165",53.3,"3,154,834",R,Ohio,OH,11693217
OK,1653,847,806,590.8,202.6,4.152449405,2212.45977,54.8,32.3,"503,890",65.4,"1,020,280",R,Oklahoma,OK,3980783
OR,5532,3197,2335,1122,338.8,12.67474037,2897.411086,74.3,56.5,"1,340,383",40.4,"958,448",B,Oregon,OR,4241507
PA,12415,7012,5403,2602,434,9.711142406,4085.743918,70.9,50,"3,459,923",48.8,"3,378,263",B,Pennsylvania,PA,12783254
RI,590,312,278,5341.8,2400.2,4.682511529,6746.745455,64.7,59.4,"307,486",38.6,"199,922",B,Rhode Island,RI,1057125
SC,2325,1117,1208,2057.6,687.8,4.338793877,4310.015459,64,43.4,"1,091,541",55.1,"1,385,103",R,South Carolina,SC,5218040
SD,2586,1223,1363,2300.8,237,1.803483075,863.6708075,65.2,35.6,"150,471",61.8,"261,043",R,South Dakota,SD,892717
TN,7783,3909,3874,9078,627.8,6.165387463,3288.970089,59.6,37.5,"1,143,711",60.7,"1,852,475",R,Tennessee,TN,6886834
TX,30682,16491,14191,3164.2,997.6,10.45000233,4571.224366,60.2,46.5,"5,259,126",52.1,"5,890,347",R,Texas,TX,29360759
UT,2403,1309,1094,1195.4,242.6,5.323275113,2228.238728,68.7,37.6,"560,282",58.1,"865,140",R,Utah,UT,3249879
VA,4715,2489,2226,1786.6,413.4,5.4885809,4606.201485,72,54.1,"2,413,568",44,"1,962,430",B,Virginia,VA,8590563
VT,1145,911,234,567.2,103.8,18.24024179,6713.598945,73.5,66.1,"242,820",30.7,"112,704",B,Vermont,VT,623347
WA,5457,3152,2305,577.6,150.2,6.331226477,2209.035516,75.2,58,"2,369,612",38.8,"1,584,651",B,Washington,WA,7693612
WI,3137,1480,1657,935.6,242.4,5.37833971,2011.806822,75.5,49.5,"1,630,673",48.8,"1,610,065",B,Wisconsin,WI,5832655
WV,667,300,367,1037.8,264.6,3.737140622,1598.08096,57,29.7,"235,984",68.6,"545,382",R,West Virginia,WV,1784787
WY,507,269,238,1425.4,335,8.706433488,2608.088757,64.2,26.6,"73,491",69.9,"193,559",R,Wyoming,WY,582328
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
